filename,vessel_density
Angio Retina_OD-Superficial_sub-000005.png_IT.csv,68.03860414394765
Angio Retina_OS-Superficial_sub-000005.png_IN.csv,60.88058742542451
Angio Retina_OD-Deep_sub-000005.png_IS.csv,88.24541465061326
Angio Retina_OS-Superficial_sub-000005.png_II.csv,67.63240018357044
Angio Retina_OD-Superficial_sub-000005.png_innerCircle.csv,12.145459888333823
Angio Retina_OD-Superficial_sub-000005.png_II.csv,68.48887427381344
Angio Retina_OS-Deep_sub-000005.png_II.csv,79.92977150537635
Angio Retina_OS-Superficial_sub-000005.png_innerCircle.csv,14.180727762803235
Angio Retina_OS-Deep_sub-000005.png_innerCircle.csv,36.70540699382897
Angio Retina_OD-Deep_sub-000005.png_IN.csv,84.53427577695501
Angio Retina_OS-Deep_sub-000005.png_IS.csv,76.20734557595993
Angio Retina_OS-Deep_sub-000005.png_IN.csv,76.51780913978494
Angio Retina_OS-Deep_sub-000005.png_IT.csv,77.7178631051753
Angio Retina_OD-Deep_sub-000005.png_II.csv,89.35958711993717
Angio Retina_OD-Deep_sub-000085.png_II.csv,55.31860497429484
Angio Retina_OD-Superficial_sub-000085.png_IS.csv,97.84742310042779
Angio Retina_OS-Deep_sub-000085.png_innerCircle.csv,42.971698113207545
Angio Retina_OD-Superficial_sub-000085.png_IT.csv,98.23324506009371
Angio Retina_OS-Superficial_sub-000085.png_IT.csv,70.00037377588399
Angio Retina_OS-Deep_sub-000085.png_IT.csv,86.11164201047505
Angio Retina_OS-Superficial_sub-000085.png_IN.csv,70.59660838898476
Angio Retina_OD-Deep_sub-000085.png_IN.csv,54.465124357371124
Angio Retina_OS-Deep_sub-000085.png_IN.csv,84.99706287287746
Angio Retina_OS-Superficial_sub-000085.png_II.csv,67.23313573947625
Angio Retina_OD-Deep_sub-000085.png_IS.csv,58.17139282735613
Angio Retina_OS-Deep_sub-000085.png_II.csv,88.89215236346948
Angio Retina_OD-Deep_sub-000085.png_innerCircle.csv,30.441211685823756
Angio Retina_OD-Deep_sub-000085.png_IT.csv,57.15102863497359
Angio Retina_OD-Superficial_sub-000085.png_II.csv,90.60650406504065
Angio Retina_OS-Deep_sub-000085.png_IS.csv,87.76330056050722
Angio Retina_OS-Superficial_sub-000085.png_IS.csv,72.88936233834193
Angio Retina_OS-Superficial_sub-000085.png_innerCircle.csv,12.834328358208955
Angio Retina_OD-Superficial_sub-000085.png_innerCircle.csv,82.9437984496124
Angio Retina_OD-Superficial_sub-000085.png_IN.csv,86.72317073170731
Angio Retina_OS-Deep_sub-000108.png_II.csv,37.44520663956639
Angio Retina_OD-Superficial_sub-000108.png_IS.csv,67.65669562910394
Angio Retina_OD-Deep_sub-000108.png_IN.csv,73.42303809086737
Angio Retina_OS-Superficial_sub-000108.png_IN.csv,38.39396321333124
Angio Retina_OS-Deep_sub-000108.png_IS.csv,35.503005672678015
Angio Retina_OS-Superficial_sub-000108.png_innerCircle.csv,4.443656716417911
Angio Retina_OD-Superficial_sub-000108.png_II.csv,72.50059563203176
Angio Retina_OD-Deep_sub-000108.png_IT.csv,76.72489203344666
Angio Retina_OD-Deep_sub-000108.png_innerCircle.csv,29.719946091644204
